season_ep,name,rating,date,minutes,url
Special 194,"""Series 4 TV Spots (Part 4)""",72%,2007-11-05T18:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/194
Special 195,"""David Tennant's Video Diary: The Final Days""",71%,2010-01-11T18:30:00Z,12m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/195
Special 196,"""BBC1 Christmas Idents""",74%,2010-01-11T18:30:00Z,1m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/196
Special 197,"""Doctor Who at Comic-Con 2009""",74%,2010-01-11T18:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/197
Special 198,"""Series 4 Specials Deleted Scenes""",78%,2010-01-11T18:30:00Z,17m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/198
Special 199,"""In Conversation With: David Tennant""",66%,2010-01-11T18:30:00Z,17m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/199
Special 200,"""Monster Files: The Daleks""",86%,2010-11-08T18:30:00Z,10m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/200
Special 201,"""Monster Files: The Weeping Angels""",86%,2010-11-08T18:30:00Z,10m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/201
Special 202,"""Monster Files: The Silurians""",84%,2010-11-08T18:30:00Z,9m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/202
Special 203,"""Monster Files: The Alliance""",80%,2010-11-08T18:30:00Z,9m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/203
Special 204,"""Series 5 Video Diaries: Part 1""",73%,2010-11-08T18:30:00Z,9m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/204
Special 205,"""Series 5 Video Diaries: Part 2""",73%,2010-11-08T18:30:00Z,9m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/205
Special 206,"""Series 5 Video Diaries: Part 3""",73%,2010-11-08T18:30:00Z,10m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/206
Special 207,"""Season 5 Outtakes""",75%,2010-11-08T18:30:00Z,7m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/207
Special 208,"""Eve of the Daleks""",73%,2022-01-01T18:30:00Z,59m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/208
Special 209,"""Legend of the Sea Devils""",56%,2022-04-17T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/209
Special 210,"""The Power of the Doctor""",76%,2022-10-23T17:30:00Z,1h 29m,https://trakt.tv/shows/doctor-who-2005/seasons/0/episodes/210
1x01,"""Rose""",75%,2005-03-26T18:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/1
1x02,"""The End of the World""",76%,2005-04-02T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/2
1x03,"""The Unquiet Dead""",74%,2005-04-09T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/3
1x04,"""Aliens of London (1)""",73%,2005-04-16T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/4
1x05,"""World War Three (2)""",73%,2005-04-23T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/5
1x06,"""Dalek""",81%,2005-04-30T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/6
1x07,"""The Long Game""",75%,2005-05-07T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/7
1x08,"""Father's Day""",79%,2005-05-14T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/8
1x09,"""The Empty Child (1)""",83%,2005-05-21T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/9
1x10,"""The Doctor Dances (2)""",83%,2005-05-28T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/10
1x11,"""Boom Town""",75%,2005-06-04T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/11
1x12,"""Bad Wolf (1)""",82%,2005-06-11T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/12
1x13,"""The Parting of the Ways (2)""",85%,2005-06-18T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/1/episodes/13
2x01,"""New Earth""",78%,2006-04-15T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/1
2x02,"""Tooth and Claw""",77%,2006-04-22T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/2
2x03,"""School Reunion""",78%,2006-04-29T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/3
2x04,"""The Girl in the Fireplace""",84%,2006-05-06T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/4
2x05,"""Rise of the Cybermen (1)""",78%,2006-05-13T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/5
2x06,"""The Age of Steel (2)""",78%,2006-05-20T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/6
2x07,"""The Idiot's Lantern""",74%,2006-05-27T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/7
2x08,"""The Impossible Planet (1)""",82%,2006-06-03T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/8
2x09,"""The Satan Pit (2)""",83%,2006-06-10T17:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/9
2x10,"""Love & Monsters""",68%,2006-06-17T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/10
2x11,"""Fear Her""",70%,2006-06-24T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/11
2x12,"""Army of Ghosts (1)""",82%,2006-07-01T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/12
2x13,"""Doomsday (2)""",87%,2006-07-08T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/2/episodes/13
3x01,"""Smith and Jones""",79%,2007-04-01T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/1
3x02,"""The Shakespeare Code""",77%,2007-04-07T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/2
3x03,"""Gridlock""",79%,2007-04-14T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/3
3x04,"""Daleks in Manhattan (1)""",74%,2007-04-21T17:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/4
3x05,"""Evolution of the Daleks (2)""",75%,2007-04-28T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/5
3x06,"""The Lazarus Experiment""",72%,2007-05-05T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/6
3x07,"""42""",75%,2007-05-19T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/7
3x08,"""Human Nature (1)""",81%,2007-05-26T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/8
3x09,"""The Family of Blood (2)""",84%,2007-06-02T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/9
3x10,"""Blink""",91%,2007-06-09T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/10
3x11,"""Utopia (1)""",83%,2007-06-16T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/11
3x12,"""The Sound of Drums (2)""",83%,2007-06-23T17:30:00Z,52m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/12
3x13,"""Last of the Time Lords (3)""",84%,2007-06-30T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/3/episodes/13
4x01,"""Partners in Crime""",80%,2008-04-05T17:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/1
4x02,"""The Fires of Pompeii""",80%,2008-04-12T17:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/2
4x03,"""Planet of the Ood""",79%,2008-04-19T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/3
4x04,"""The Sontaran Stratagem (1)""",77%,2008-04-26T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/4
4x05,"""The Poison Sky (2)""",78%,2008-05-03T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/5
4x06,"""The Doctor's Daughter""",80%,2008-05-10T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/6
4x07,"""The Unicorn and the Wasp""",78%,2008-05-17T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/7
4x08,"""Silence in the Library (1)""",86%,2008-05-31T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/8
4x09,"""Forest of the Dead (2)""",88%,2008-06-07T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/9
4x10,"""Midnight""",83%,2008-06-14T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/10
4x11,"""Turn Left""",86%,2008-06-21T17:30:00Z,52m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/11
4x12,"""The Stolen Earth (1)""",87%,2008-06-28T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/12
4x13,"""Journey's End (2)""",88%,2008-07-05T17:30:00Z,1h 6m,https://trakt.tv/shows/doctor-who-2005/seasons/4/episodes/13
5x01,"""The Eleventh Hour""",85%,2010-04-03T17:30:00Z,1h 5m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/1
5x02,"""The Beast Below""",80%,2010-04-10T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/2
5x03,"""Victory of the Daleks""",76%,2010-04-17T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/3
5x04,"""The Time of Angels (1)""",83%,2010-04-24T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/4
5x05,"""Flesh and Stone (2)""",84%,2010-05-01T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/5
5x06,"""The Vampires of Venice""",75%,2010-05-08T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/6
5x07,"""Amy's Choice""",80%,2010-05-15T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/7
5x08,"""The Hungry Earth (1)""",76%,2010-05-22T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/8
5x09,"""Cold Blood (2)""",78%,2010-05-29T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/9
5x10,"""Vincent and the Doctor""",89%,2010-06-05T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/10
5x11,"""The Lodger""",81%,2010-06-12T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/11
5x12,"""The Pandorica Opens (1)""",86%,2010-06-19T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/12
5x13,"""The Big Bang (2)""",88%,2010-06-26T17:30:00Z,54m,https://trakt.tv/shows/doctor-who-2005/seasons/5/episodes/13
6x01,"""The Impossible Astronaut (1)""",85%,2011-04-23T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/1
6x02,"""Day of the Moon (2)""",85%,2011-04-30T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/2
6x03,"""The Curse of the Black Spot""",74%,2011-05-07T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/3
6x04,"""The Doctor's Wife""",85%,2011-05-14T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/4
6x05,"""The Rebel Flesh (1)""",75%,2011-05-21T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/5
6x06,"""The Almost People (2)""",78%,2011-05-28T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/6
6x07,"""A Good Man Goes to War (1)""",87%,2011-06-04T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/7
6x08,"""Let's Kill Hitler (2)""",83%,2011-08-27T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/8
6x09,"""Night Terrors""",74%,2011-09-03T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/9
6x10,"""The Girl Who Waited""",82%,2011-09-10T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/10
6x11,"""The God Complex""",79%,2011-09-17T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/11
6x12,"""Closing Time""",79%,2011-09-24T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/12
6x13,"""The Wedding of River Song""",85%,2011-10-01T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/6/episodes/13
7x01,"""Asylum of the Daleks""",84%,2012-09-01T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/1
7x02,"""Dinosaurs on a Spaceship""",77%,2012-09-08T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/2
7x03,"""A Town Called Mercy""",76%,2012-09-15T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/3
7x04,"""The Power of Three""",78%,2012-09-22T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/4
7x05,"""The Angels Take Manhattan""",87%,2012-09-29T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/5
7x06,"""The Bells of Saint John""",81%,2013-03-30T18:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/6
7x07,"""The Rings of Akhaten""",77%,2013-04-06T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/7
7x08,"""Cold War""",75%,2013-04-13T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/8
7x09,"""Hide""",78%,2013-04-20T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/9
7x10,"""Journey to the Centre of the TARDIS""",79%,2013-04-27T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/10
7x11,"""The Crimson Horror""",76%,2013-05-04T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/11
7x12,"""Nightmare in Silver""",79%,2013-05-11T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/12
7x13,"""The Name of the Doctor""",88%,2013-05-18T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/7/episodes/13
8x01,"""Deep Breath""",79%,2014-08-23T17:30:00Z,1h 17m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/1
8x02,"""Into the Dalek""",77%,2014-08-30T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/2
8x03,"""Robot of Sherwood""",75%,2014-09-06T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/3
8x04,"""Listen""",82%,2014-09-13T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/4
8x05,"""Time Heist""",80%,2014-09-20T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/5
8x06,"""The Caretaker""",76%,2014-09-27T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/6
8x07,"""Kill the Moon""",74%,2014-10-04T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/7
8x08,"""Mummy on the Orient Express""",80%,2014-10-11T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/8
8x09,"""Flatline""",79%,2014-10-18T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/9
8x10,"""In the Forest of the Night""",74%,2014-10-25T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/10
8x11,"""Dark Water""",82%,2014-11-01T18:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/11
8x12,"""Death in Heaven""",80%,2014-11-08T18:30:00Z,57m,https://trakt.tv/shows/doctor-who-2005/seasons/8/episodes/12
9x01,"""The Magician's Apprentice (1)""",81%,2015-09-19T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/1
9x02,"""The Witch's Familiar (2)""",80%,2015-09-26T17:30:00Z,48m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/2
9x03,"""Under the Lake (1)""",78%,2015-10-03T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/3
9x04,"""Before the Flood (2)""",78%,2015-10-10T17:30:00Z,43m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/4
9x05,"""The Girl Who Died (1)""",77%,2015-10-17T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/5
9x06,"""The Woman Who Lived (2)""",76%,2015-10-24T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/6
9x07,"""The Zygon Invasion (1)""",75%,2015-10-31T18:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/7
9x08,"""The Zygon Inversion (2)""",78%,2015-11-07T18:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/8
9x09,"""Sleep No More""",67%,2015-11-14T18:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/9
9x10,"""Face the Raven""",81%,2015-11-21T18:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/10
9x11,"""Heaven Sent (1)""",85%,2015-11-28T18:30:00Z,55m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/11
9x12,"""Hell Bent (2)""",83%,2015-12-05T18:30:00Z,1h 1m,https://trakt.tv/shows/doctor-who-2005/seasons/9/episodes/12
10x01,"""The Pilot""",79%,2017-04-15T17:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/1
10x02,"""Smile""",77%,2017-04-22T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/2
10x03,"""Thin Ice""",76%,2017-04-29T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/3
10x04,"""Knock Knock""",75%,2017-05-06T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/4
10x05,"""Oxygen""",77%,2017-05-13T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/5
10x06,"""Extremis (1)""",79%,2017-05-20T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/6
10x07,"""The Pyramid at the End of the World (2)""",78%,2017-05-27T17:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/7
10x08,"""The Lie of the Land (3)""",75%,2017-06-03T17:30:00Z,45m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/8
10x09,"""Empress of Mars""",74%,2017-06-10T17:30:00Z,44m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/9
10x10,"""The Eaters of Light""",75%,2017-06-17T17:30:00Z,42m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/10
10x11,"""World Enough and Time (1)""",82%,2017-06-24T17:30:00Z,46m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/11
10x12,"""The Doctor Falls (2)""",82%,2017-07-01T17:30:00Z,1h 1m,https://trakt.tv/shows/doctor-who-2005/seasons/10/episodes/12
11x01,"""The Woman Who Fell to Earth""",76%,2018-10-07T17:30:00Z,1h 3m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/1
11x02,"""The Ghost Monument""",74%,2018-10-14T17:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/2
11x03,"""Rosa""",77%,2018-10-21T17:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/3
11x04,"""Arachnids in the UK""",70%,2018-10-28T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/4
11x05,"""The Tsuranga Conundrum""",70%,2018-11-04T18:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/5
11x06,"""Demons of the Punjab""",76%,2018-11-11T18:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/6
11x07,"""Kerblam!""",73%,2018-11-18T18:30:00Z,49m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/7
11x08,"""The Witchfinders""",72%,2018-11-25T18:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/8
11x09,"""It Takes You Away""",73%,2018-12-02T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/9
11x10,"""The Battle of Ranskoor Av Kolos""",72%,2018-12-09T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/11/episodes/10
12x01,"""Spyfall (1)""",74%,2020-01-01T18:30:00Z,1h,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/1
12x02,"""Spyfall (2)""",73%,2020-01-05T18:30:00Z,1h 1m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/2
12x03,"""Orphan 55""",63%,2020-01-12T18:30:00Z,47m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/3
12x04,"""Nikola Tesla's Night of Terror""",72%,2020-01-19T18:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/4
12x05,"""Fugitive of the Judoon""",78%,2020-01-26T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/5
12x06,"""Praxeus""",68%,2020-02-02T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/6
12x07,"""Can You Hear Me?""",70%,2020-02-09T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/7
12x08,"""The Haunting of Villa Diodati""",74%,2020-02-16T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/8
12x09,"""Ascension of the Cybermen (1)""",74%,2020-02-23T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/9
12x10,"""The Timeless Children (2)""",73%,2020-03-01T18:30:00Z,1h 6m,https://trakt.tv/shows/doctor-who-2005/seasons/12/episodes/10
13x01,"""The Halloween Apocalypse""",72%,2021-10-31T18:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/1
13x02,"""War of the Sontarans""",73%,2021-11-07T18:30:00Z,1h,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/2
13x03,"""Once, Upon Time""",70%,2021-11-14T18:30:00Z,50m,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/3
13x04,"""Village of the Angels""",76%,2021-11-21T18:30:00Z,57m,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/4
13x05,"""Survivors of the Flux""",71%,2021-11-28T18:30:00Z,51m,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/5
13x06,"""The Vanquishers""",68%,2021-12-05T18:30:00Z,1h,https://trakt.tv/shows/doctor-who-2005/seasons/13/episodes/6
